{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 1, 'reg_alpha': 0, 'reg_lambda': 1, 'max_depth': 7, 'subsample': 1, 'learning_rate': 0.1} -0.5270559086149332 0.0059195237494114525
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 1, 'reg_alpha': 1, 'reg_lambda': 0, 'max_depth': 7, 'subsample': 0.7, 'learning_rate': 0.1} -0.5175693629313821 0.005888564580559667
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 1, 'reg_alpha': 1, 'reg_lambda': 0, 'max_depth': 7, 'subsample': 1, 'learning_rate': 0.1} -0.526764074102684 0.005684610695577373
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 1, 'reg_alpha': 1, 'reg_lambda': 1, 'max_depth': 7, 'subsample': 0.7, 'learning_rate': 0.1} -0.5201717098023556 0.006400729524502124
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 1, 'reg_alpha': 1, 'reg_lambda': 1, 'max_depth': 7, 'subsample': 1, 'learning_rate': 0.1} -0.5287399909571406 0.006428814253687299
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 1, 'reg_alpha': 0, 'reg_lambda': 0, 'max_depth': 9, 'subsample': 0.7, 'learning_rate': 0.1} -0.49185861123905233 0.006093449510403473
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 1, 'reg_alpha': 0, 'reg_lambda': 0, 'max_depth': 9, 'subsample': 1, 'learning_rate': 0.1} -0.5063988832818493 0.00726453775366534
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 1, 'reg_alpha': 0, 'reg_lambda': 1, 'max_depth': 9, 'subsample': 0.7, 'learning_rate': 0.1} -0.4932579489318731 0.00651402196735727
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 1, 'reg_alpha': 0, 'reg_lambda': 1, 'max_depth': 9, 'subsample': 1, 'learning_rate': 0.1} -0.5068858401740297 0.007560556295256387
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 1, 'reg_alpha': 1, 'reg_lambda': 0, 'max_depth': 9, 'subsample': 0.7, 'learning_rate': 0.1} -0.49491637055479193 0.005845591045880917
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 1, 'reg_alpha': 1, 'reg_lambda': 0, 'max_depth': 9, 'subsample': 1, 'learning_rate': 0.1} -0.5057275447569967 0.006134788404191556
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 1, 'reg_alpha': 1, 'reg_lambda': 1, 'max_depth': 9, 'subsample': 0.7, 'learning_rate': 0.1} -0.49713025135632893 0.0070100117803221255
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 1, 'reg_alpha': 1, 'reg_lambda': 1, 'max_depth': 9, 'subsample': 1, 'learning_rate': 0.1} -0.5058517860769352 0.0067473299503609295
{'reg_lambda': 0, 'subsample': 0.7, 'colsample_bytree': 0.8, 'reg_alpha': 0, 'max_depth': 9, 'learning_rate': 0.1, 'n_jobs': -1, 'objective': 'binary:logistic', 'n_estimators': 100} -0.4950425177984839 0.004588157401588672
{'reg_lambda': 0, 'subsample': 1, 'colsample_bytree': 0.8, 'reg_alpha': 0, 'max_depth': 9, 'learning_rate': 0.1, 'n_jobs': -1, 'objective': 'binary:logistic', 'n_estimators': 100} -0.5022680837677008 0.00400683025858705
{'reg_lambda': 1, 'subsample': 0.7, 'colsample_bytree': 0.8, 'reg_alpha': 0, 'max_depth': 9, 'learning_rate': 0.1, 'n_jobs': -1, 'objective': 'binary:logistic', 'n_estimators': 100} -0.4969929087536703 0.004120504455343231
{'reg_lambda': 1, 'subsample': 1, 'colsample_bytree': 0.8, 'reg_alpha': 0, 'max_depth': 9, 'learning_rate': 0.1, 'n_jobs': -1, 'objective': 'binary:logistic', 'n_estimators': 100} -0.5042238189632913 0.004743132022368727
{'reg_lambda': 0, 'subsample': 0.7, 'colsample_bytree': 0.8, 'reg_alpha': 1, 'max_depth': 9, 'learning_rate': 0.1, 'n_jobs': -1, 'objective': 'binary:logistic', 'n_estimators': 100} -0.4986507560978156 0.004442041224875582
{'reg_lambda': 0, 'subsample': 1, 'colsample_bytree': 0.8, 'reg_alpha': 1, 'max_depth': 9, 'learning_rate': 0.1, 'n_jobs': -1, 'objective': 'binary:logistic', 'n_estimators': 100} -0.503872284398858 0.004601515031777536
{'reg_lambda': 1, 'subsample': 0.7, 'colsample_bytree': 0.8, 'reg_alpha': 1, 'max_depth': 9, 'learning_rate': 0.1, 'n_jobs': -1, 'objective': 'binary:logistic', 'n_estimators': 100} -0.501211420697472 0.004770037825614294
{'reg_lambda': 1, 'subsample': 1, 'colsample_bytree': 0.8, 'reg_alpha': 1, 'max_depth': 9, 'learning_rate': 0.1, 'n_jobs': -1, 'objective': 'binary:logistic', 'n_estimators': 100} -0.5048593393152173 0.005303886995613835
{'reg_lambda': 0, 'subsample': 0.7, 'colsample_bytree': 0.8, 'reg_alpha': 0, 'max_depth': 9, 'learning_rate': 0.1, 'n_jobs': -1, 'objective': 'binary:logistic', 'n_estimators': 150} -0.4782383167014633 0.004142853484793031
{'reg_lambda': 0, 'subsample': 1, 'colsample_bytree': 0.8, 'reg_alpha': 0, 'max_depth': 9, 'learning_rate': 0.1, 'n_jobs': -1, 'objective': 'binary:logistic', 'n_estimators': 150} -0.4866335783584532 0.0041102446388732086
{'reg_lambda': 1, 'subsample': 0.7, 'colsample_bytree': 0.8, 'reg_alpha': 0, 'max_depth': 9, 'learning_rate': 0.1, 'n_jobs': -1, 'objective': 'binary:logistic', 'n_estimators': 150} -0.47791278880986143 0.0038507124455005514
{'reg_lambda': 1, 'subsample': 1, 'colsample_bytree': 0.8, 'reg_alpha': 0, 'max_depth': 9, 'learning_rate': 0.1, 'n_jobs': -1, 'objective': 'binary:logistic', 'n_estimators': 150} -0.48592638661176485 0.0051840177138391215
{'reg_lambda': 0, 'subsample': 0.7, 'colsample_bytree': 0.8, 'reg_alpha': 1, 'max_depth': 9, 'learning_rate': 0.1, 'n_jobs': -1, 'objective': 'binary:logistic', 'n_estimators': 150} -0.47790758935238337 0.004554722682281361
{'reg_lambda': 0, 'subsample': 1, 'colsample_bytree': 0.8, 'reg_alpha': 1, 'max_depth': 9, 'learning_rate': 0.1, 'n_jobs': -1, 'objective': 'binary:logistic', 'n_estimators': 150} -0.4832048187349899 0.004928535790591217
{'reg_lambda': 1, 'subsample': 0.7, 'colsample_bytree': 0.8, 'reg_alpha': 1, 'max_depth': 9, 'learning_rate': 0.1, 'n_jobs': -1, 'objective': 'binary:logistic', 'n_estimators': 150} -0.4790836738654132 0.004601006114386605
{'reg_lambda': 1, 'subsample': 1, 'colsample_bytree': 0.8, 'reg_alpha': 1, 'max_depth': 9, 'learning_rate': 0.1, 'n_jobs': -1, 'objective': 'binary:logistic', 'n_estimators': 150} -0.48311001944841875 0.005844367145529677
